|Net ID|Course|Film title|Transcoded File Name|Call Num|Order to Process|na|Status of Request|Date needed|Main Feature Language|Subtitles|Library|Prior use|(N/A)|Notes|Request or Decline|Which Course Management System are you using?|Please specify the subtitle language||
6/22/2012 15:51:06|batill|AME30362-01|Deep Dive - IDEO|DeepDive.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
6/22/2012 15:52:01|batill|AME30362-01|Genius of Design - Episode 1|GeniusOfDesign1.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
6/22/2012 15:52:52|batill|AME30362-01|Genius of Design - Episode 2|GeniusOfDesign2.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
6/22/2012 15:54:01|batill|AME30362-01|Genius of Design - Episode 3|GeniusOfDesign3.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
6/22/2012 15:54:37|batill|AME30362-01|Genius of Design - Episode 4|GeniusOfDesign4.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
6/22/2012 15:55:06|batill|AME30362-01|Genius of Design - Episode 5|GeniusOfDesign5.mov|na|1|1|Completed|8/20/2012||||Yes|||Yes - I'll enter titles now|Concourse (AT is added --- JJH)|||
8/14/2012 17:38:20|emcclint|SOC 43377|The Life and Times of Rosie the Riveter|D03041_The_Life_And_Times_of_Rosie_The_Riveter.mov|D03041|1|1|Completed|8/22/2012|English|No|I don't know|Not sure||D03041|Yes - I'll enter titles now|Concourse in Sakai|english||
8/14/2012 14:33:59|sfredman|ENGL 40708-01|Howl|Howl.mov|D08458|1|1|Completed|8/28/2012|English|No|Yes|Not sure||D 08458|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
7/17/2012 16:04:30|kibsen|LLRO13186 - 01 |The Buried Mirror, videos 2, 3, 4 and 5|V03412_The_Buried_Mirror_Conflict_of_the_Gods_Program2.mov V03412_The_Buried_Mirror_The_Age_of_Gold_Program_3.mov V03412_The_Buried_Mirror_The_Price_of_Freedom_Program_4.mov V03412_The_Buried_Mirror_Unfinished_Business_Program_5.mov|V03412|1|1|Completed|On 8/21, 8/23, 8/30 and 10/9, respectively |English|No|Yes|No||V 03412|Yes - I'll enter titles now|Concourse - PR|||
8/14/2012 14:44:11|sfredman|ENGL 40708-01|Swimming to Cambodia|SwimmingToCambodia.mov||2|2|Completed|9/1/2012|English|No|Yes|Not sure||D 02347|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
8/14/2012 14:46:15|sfredman|ENGL 40708-01|I Have Nothing to Say|IHaveNothingToSay.mov||2|2|Completed|9/11/2012|English|No|Yes|Not sure||V 00686|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
7/17/2012 16:17:08|kibsen|LLRO13186 - 01 |Chile Obstinate Memory|V03448_Chile_Obstinate_memory.mov||3|3|Completed|9/20/2012|Spanish|Yes|Yes|No||V 03448 This film has been streamed for my colleague Thomas Anderson.|Yes - I'll enter titles now|Concourse - PR|||
8/14/2012 11:48:47|cmoevs|ROIT 30310 - 01|Amarcord (by Federico Fellini), in Italian with English subtitles|Amarcord.mov||3|3||9/25/2012||||Yes|||Yes - I'll enter titles now|Concourse|||
8/14/2012 14:37:51|sfredman|ENGL 40708-01|Four American Composers: Meredith Monk|FourGreatAmericanComposers.mov|V01451|4|4||10/1/2012|English|No|Yes|Not sure||V 01451|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
8/14/2012 14:40:24|sfredman|ENGL 40708-01|Home of the Brave|HomeOfTheBrave.mov|V00410|4|4||10/1/2012|English|No|Yes|Not sure||V 00410|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
8/14/2012 14:41:46|sfredman|ENGL 40708-01|Collected Videos|CollectedVideos.mov|V00411|4|4||10/1/2012|English|No|Yes|Not sure||V 00411|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
8/14/2012 14:56:47|sfredman|ALHN 13950-07 |Doctor Atomic (2008)|||4|4||10/11/2012|English|No|No|No||I have a copy you can use, once the library orders a copy|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
8/14/2012 17:41:50|emcclint|SOC 43377|Maid in America|||5|5||10/20/2012|English|No|I don't know|No|||Yes - I'll enter titles now|Concourse in Sakai|english||
8/14/2012 14:59:09|sfredman|ALHN 13950-07|Clueless|AT LAW LIBRARY||7|7||11/20/2012|English|No|Yes|No||Notre Dame, Kresge Law Library General Collection (PN1997 .C58 1995a|Yes - I'll enter titles now|Concourse in Sakai|no subtitles||
7/17/2012 16:14:20|kibsen|LLRO13186 - 01 |The Americas (selected chapters)|V00297_Americas_Part2.mov V00297_Americas_Part3.mov V00297_Americas_Part6.mov V00297_Americas_Part7.mov V00297_Americas_Part8.mov V00297_Americas_Part9.mov|V00297|2|2|Completed|first chapter needed on 9/4/2012|English|Yes|Yes|No||V 00297 The following chapters: 2. Capital sins: authoritarianism and democratization needed 9/4/2012 3. Continent on the move: migration and urbanization needed 9/18/2012 6. Miracles are not enough: continuity and change in religion needed 11/13 7. Builders of images: Latin American cultural identity needed 9/4 8. Get up, stand up: problems of sovereignty needed 11/1 9. Fire in the mind: revolutions and revolutionaries needed 11/1|Yes - I'll enter titles now|Concourse - PR|||
8/15/2012 14:31:51|pmartin|FA12-ROFR-20201-SS02|Chaos|D06450_Chaos_(FrenchWithEnglishSubs).mov||2|2|Completed|9/14/2012|French|Yes|Yes|No||D 06450|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:34:09|pmartin|FA12-ROFR-20201-SS02|Indochine|D08047_Indochine_(FrenchWithEngSubs).mov||2|2|Completed|9/14/2012|French|Yes|Yes|No||D 08047|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:38:09|pmartin|FA12-ROFR-27500-SS01|Le Cheval d'Orgueil|V04163_The_Horse_Of_Pride_(FrenchWithEnglishSubs).mov||2|2|Completed|9/1/2012|French|Yes|Yes|No||I donated a new VHS copy of the film to the ND library this week. The film does not exist in DVD.|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:39:37|pmartin|FA12-ROFR-27500-SS01|Vipère au poing|D02302_Viper_in_The_Fist_Vipere_Au_Poing_(FrechWithEngSubs).mov||2|2|Completed|9/1/2012|French|Yes|Yes|No||D 02302|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:42:01|pmartin|FA12-ROFR-27500-SS01|Western|V02877_Western_(FrenchWithEnglSubs).mov||2|2|Completed|9/1/2012|English|Yes|Yes|No||V 02877 (Library has what I believe is a new copy of the VHS tape ... I have a personal DVD copy if that proves more helpful.|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:53:02|pmartin|CSEM 23101-07|Monsieur Ibrahim et les fleurs du Coran|D02770_Monsieur_Ibrahim(FrenchWithEngSubs).mov||3|3|Completed|9/28/2012|French|Yes|Yes|No||D 02770|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:54:22|pmartin|CSEM 23101-07|Water|D04951_Water_(HindiWithEngSubs).mov||3|3|Completed|9/28/2012|Hindi|Yes|Yes|No||D 04951|Yes - I'll enter titles now|Concourse in Sakai|English||
8/15/2012 14:56:06|pmartin|CSEM 23101-07|Pollock|D03552_Pollock.mov||3|3|Completed|9/28/2012|English|No|Yes|No||D 03552|Yes - I'll enter titles now|Concourse in Sakai|None||
8/15/2012 17:51:23|mnoriega|ROSP 27500-04|The Official Story |HistoriaOficial.mov||1|1|Completed|8/28/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 17:55:04|mnoriega|ROSP 27500-04|Under the Same Moon|LaMismaLuna_UnderTheSameMoon.mov||2|2|Completed|9/7/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
8/15/2012 17:56:14|mnoriega|ROSP 27500-04|Maria Full of Grace|MariaFullOfGrace.mov||2|2|Completed|9/14/2012||||Yes|||Yes - I'll enter titles now|Concourse in Sakai|||
